context,question,answer,source,type
"5. Đối với kết cấu hạ tầng đường bộ do Nhà nước đầu tư đã được bàn giao, đưa vào khai thác nhưng chưa hoàn thành việc giao quản lý tài sản kết cấu hạ tầng đường bộ thì chi phí quy định tại khoản 1 Điều này được bố trí từ nguồn chi thường xuyên của ngân sách nhà nước.",Nguồn kinh phí để chi trả cho việc quản lý tài sản kết cấu hạ tầng đường bộ khi chưa hoàn thành việc giao quản lý?,Nguồn chi thường xuyên của ngân sách nhà nước,Luật-35-2024-QH15,direct
"Điều 83. Thanh tra đường bộ
Thanh tra đường bộ có nhiệm vụ sau đây:
1. Thanh tra, kiểm tra, xử lý vi phạm pháp luật về kết cấu hạ tầng đường bộ; vận tải đường bộ tại đơn vị vận tải, bến xe, bãi đỗ xe, trạm dừng nghỉ, đơn vị thực hiện dịch vụ hỗ trợ vận tải;",Nhiệm vụ của thanh tra đường bộ bao gồm những gì?,"Thanh tra, kiểm tra, xử lý vi phạm pháp luật về kết cấu hạ tầng đường bộ; vận tải đường bộ tại đơn vị vận tải, bến xe, bãi đỗ xe, trạm dừng nghỉ, đơn vị thực hiện dịch vụ hỗ trợ vận tải",Luật-35-2024-QH15,direct
"Điều 4 như sau:
a) Sửa đổi, bổ sung điểm a khoản 3 như sau:
“a) Sở Giao thông vận tải: Xây dựng, điều chỉnh, bổ sung danh mục mạng lưới tuyến cố định nội tỉnh; thống nhất với Sở Giao thông vận tải đầu tuyến bên kia để thực hiện xây dựng, điều chỉnh, bổ sung danh mục mạng lưới tuyến cố định liên tỉnh theo nguyên tắc ổn định các tuyến đã công bố; đối với các tỉnh, thành phố có bến xe bảo đảm tổ chức vận tải theo hương tuyến cần tuân thủ nguyên tắc tuyến vận tải đi theo hướng nào thì điểm đầu, điểm cuối là bến xe hướng đó;"";
b) Sửa đổi, bổ sung khoản 8 như sau:
""8.","Nếu tỉnh, thành phố có bến xe bảo đảm tổ chức vận tải theo hương tuyến thì điểm đầu, điểm cuối của tuyến vận tải được xác định như thế nào?","Điểm đầu, điểm cuối là bến xe hướng đó",Nghị định 41.2024.NĐ-CP,condition
"3. Cơ quan, tổ chức, cá nhân được huy động có trách nhiệm chấp hành quyết định, yêu cầu của Cảnh sát giao thông theo quy định tại khoản 1 Điều này.
Trong trường hợp cấp bách theo quy định tại khoản 1 Điều này, người chỉ huy trực tiếp của Cảnh sát giao thông tại hiện trường đề nghị tổ chức, cá nhân nước ngoài hỗ trợ, giúp đỡ để thực hiện nhiệm vụ theo quy định của pháp luật Việt Nam và điều ước quốc tế mà nước","Cơ quan, tổ chức, cá nhân được huy động có trách nhiệm gì khi Cảnh sát giao thông yêu cầu?","Chấp hành quyết định, yêu cầu của Cảnh sát giao thông",luat trật tự,direct
"Điều 39. Cấp, thu hồi chứng nhận đăng ký xe và biển số xe cơ giới, xe máy chuyên dùng tham gia giao thông đường bộ
1. Việc cấp mới chứng nhận đăng ký xe và biển số xe cơ giới, xe máy chuyên dùng phải bảo đảm các điều kiện sau đây:
a) Chứng nhận nguồn gốc xe;
b) Chứng nhận quyền sở hữu hợp pháp;
c) Chứng từ hoàn thành nghĩa vụ tài chính.","Khi cấp mới chứng nhận đăng ký xe và biển số xe cơ giới, xe máy chuyên dùng cần những giấy tờ gì?","Chứng nhận nguồn gốc xe, chứng nhận quyền sở hữu hợp pháp và chứng từ hoàn thành nghĩa vụ tài chính.",luat trật tự,direct
"Điều 75. Dịch vụ đại lý bán vé
1. Đơn vị kinh doanh dịch vụ đại lý bán vé được thành lập theo quy định của pháp luật về doanh nghiệp, pháp luật về hợp tác xã.
2. Đơn vị kinh doanh dịch vụ đại lý bán vé phải có hợp đồng đại lý bán vé với đơn vị kinh doanh vận tải hành khách bằng xe buýt, đơn vị kinh doanh vận tải theo tuyến cố định.",Nếu đơn vị kinh doanh dịch vụ đại lý bán vé muốn hoạt động thì cần có hợp đồng đại lý bán vé với những đơn vị nào?,"Đơn vị kinh doanh vận tải hành khách bằng xe buýt, đơn vị kinh doanh vận tải theo tuyến cố định.",Luật-35-2024-QH15,condition
"3. Trung tâm sát hạch lái xe lưu trữ hồ sơ của kỳ sát hạch bao gồm:
a) Các tài liệu quy định tại các điểm a, e, g khoản 1 Điều này;
b) Dữ liệu giám sát sát hạch; dữ liệu kết quả sát hạch lý thuyết, thực hành lái xe trong hình, phần mềm mô phỏng các tình huống giao thông và sát hạch thực hành lái xe trên đường;
c) Danh sách, kết quả sát hạch lái xe trên phần mềm mô phỏng các tình huống giao thông.",Nếu trung tâm sát hạch lái xe cần lưu trữ hồ sơ của kỳ sát hạch thì họ cần lưu trữ những thông tin gì?,"Hồ sơ của kỳ sát hạch bao gồm các tài liệu quy định, dữ liệu giám sát sát hạch, dữ liệu kết quả sát hạch và danh sách kết quả sát hạch lái xe trên phần mềm mô phỏng các tình huống giao thông.",TT 12/2024/TT-BGTVT,condition
"12. Cố ý can thiệp, thay đổi phần mềm điều khiển của xe, động cơ của xe đã được đăng ký với cơ quan quản lý, nhằm mục đích gian lận kết quả kiểm tra, thử nghiệm, kiểm định; thuê, mượn phụ tùng xe cơ giới chỉ để thực hiện việc kiểm định.",Những hành vi nào bị coi là gian lận trong quá trình kiểm định xe?,"Cố ý can thiệp, thay đổi phần mềm điều khiển của xe, động cơ của xe đã được đăng ký với cơ quan quản lý; thuê, mượn phụ tùng xe cơ giới chỉ để thực hiện việc kiểm định",luat trật tự,synthesis
"3. Cơ quan Cảnh sát giao thông có trách nhiệm sau đây:
a) Xây dựng, tổ chức thực hiện phương án bảo đảm trật tự, an toàn giao thông đường bộ;
b) Thông báo, thực hiện phương án phân luồng giao thông tạm thời;
c) Giải quyết các tình huống gây mất an ninh, trật tự, an toàn giao thông đường bộ; trường hợp sử dụng tạm thời lòng đường, vỉa hè không bảo đảm yêu cầu về an ninh, trật tự, an toàn giao thông đường bộ thì tạm thời đình chỉ hoạt động, kiến nghị cơ quan có thẩm quyền điều chỉnh phương án sử dụng cho phù hợp.","Nếu sử dụng tạm thời lòng đường, vỉa hè không bảo đảm yêu cầu về an ninh, trật tự, an toàn giao thông đường bộ thì cơ quan Cảnh sát giao thông sẽ làm gì?","Tạm thời đình chỉ hoạt động, kiến nghị cơ quan có thẩm quyền điều chỉnh phương án sử dụng cho phù hợp.",luat trật tự,condition
"2. Cục Cảnh sát giao thông
a) Tiếp nhận dữ liệu IDP đã được Phòng Cảnh sát giao thông đồng bộ vào hệ thống thông tin giấy phép lái xe tại Cục Cảnh sát giao thông để tổ chức quản lý và sử dụng dữ liệu theo quy định;
b) Trường hợp tiếp nhận hồ sơ đề nghị cấp IDP của cá nhân thì thực hiện như quy trình tại khoản 1 Điều này.
TỔ CHỨC THỰC HIỆN",Cục Cảnh sát giao thông có những nhiệm vụ gì trong việc quản lý và cấp IDP?,Tiếp nhận dữ liệu IDP; tổ chức quản lý và sử dụng dữ liệu theo quy định; tiếp nhận hồ sơ đề nghị cấp IDP của cá nhân,TT 12/2024/TT-BGTVT,synthesis
