context,question,answer,source,type
"2. Đối với sân tập lái dùng để sát hạch lái xe mô tô tổ chức sát hạch lý thuyết bằng phương pháp trắc nghiệm trên giấy và sát hạch trong hình bằng phương pháp chấm điểm trực tiếp
Sân tập lái dùng để sát hạch lái xe mô tô phải đáp ứng các yêu cầu kỹ thuật theo quy định của Quy chuẩn kỹ thuật quốc gia về trung tâm sát hạch lái xe cơ giới đường bộ, gồm: hình của các bài sát hạch, xe sát hạch, phòng chờ sát hạch, phòng sát hạch lý thuyết.",Sân tập lái dùng để sát hạch lái xe mô tô phải đáp ứng những yêu cầu kỹ thuật gì?,"Sân tập lái dùng để sát hạch lái xe mô tô phải đáp ứng các yêu cầu kỹ thuật theo quy định của Quy chuẩn kỹ thuật quốc gia về trung tâm sát hạch lái xe cơ giới đường bộ, gồm: hình của các bài sát hạch, xe sát hạch, phòng chờ sát hạch, phòng sát hạch lý thuyết.",TT 12/2024/TT-BGTVT,direct
"2. Đối với sân tập lái dùng để sát hạch lái xe mô tô tổ chức sát hạch lý thuyết bằng phương pháp trắc nghiệm trên giấy và sát hạch trong hình bằng phương pháp chấm điểm trực tiếp
Sân tập lái dùng để sát hạch lái xe mô tô phải đáp ứng các yêu cầu kỹ thuật theo quy định của Quy chuẩn kỹ thuật quốc gia về trung tâm sát hạch lái xe cơ giới đường bộ, gồm: hình của các bài sát hạch, xe sát hạch, phòng chờ sát hạch, phòng sát hạch lý thuyết.",Nếu sân tập lái không đáp ứng các yêu cầu kỹ thuật thì có được phép tổ chức sát hạch lái xe mô tô không?,"Không, sân tập lái phải đáp ứng các yêu cầu kỹ thuật theo quy định của Quy chuẩn kỹ thuật quốc gia về trung tâm sát hạch lái xe cơ giới đường bộ.",TT 12/2024/TT-BGTVT,condition
"2. Đối với sân tập lái dùng để sát hạch lái xe mô tô tổ chức sát hạch lý thuyết bằng phương pháp trắc nghiệm trên giấy và sát hạch trong hình bằng phương pháp chấm điểm trực tiếp
Sân tập lái dùng để sát hạch lái xe mô tô phải đáp ứng các yêu cầu kỹ thuật theo quy định của Quy chuẩn kỹ thuật quốc gia về trung tâm sát hạch lái xe cơ giới đường bộ, gồm: hình của các bài sát hạch, xe sát hạch, phòng chờ sát hạch, phòng sát hạch lý thuyết.",Quy trình sát hạch lái xe mô tô tại sân tập lái gồm những bước nào và ai có trách nhiệm đảm bảo sân tập lái đáp ứng các yêu cầu kỹ thuật?,"Quy trình sát hạch lái xe mô tô tại sân tập lái gồm sát hạch lý thuyết bằng phương pháp trắc nghiệm trên giấy và sát hạch trong hình bằng phương pháp chấm điểm trực tiếp, sân tập lái phải đáp ứng các yêu cầu kỹ thuật theo quy định.",TT 12/2024/TT-BGTVT,synthesis
"2. Không cấp lại giấy phép lái xe đối với các trường hợp sau: thông tin giấy phép lái xe không có trong hệ thống thông tin giấy phép lái xe tại Cục Cảnh sát giao thông hoặc không có trong bảng kê danh sách cấp giấy phép lái xe (sổ quản lý); người vi phạm trật tự, an toàn giao thông đường bộ chưa thực hiện xong yêu cầu của cơ quan nhà nước có thẩm quyền về giải quyết, xử lý vụ việc vi phạm hành chính trong lĩnh vực trật tự, an toàn giao thông đường bộ.",Giấy phép lái xe không có trong hệ thống thông tin thì có được cấp lại không?,Giấy phép lái xe không có trong hệ thống thông tin giấy phép lái xe tại Cục Cảnh sát giao thông thì không được cấp lại.,TT 12/2024/TT-BGTVT,direct
"2. Không cấp lại giấy phép lái xe đối với các trường hợp sau: thông tin giấy phép lái xe không có trong hệ thống thông tin giấy phép lái xe tại Cục Cảnh sát giao thông hoặc không có trong bảng kê danh sách cấp giấy phép lái xe (sổ quản lý); người vi phạm trật tự, an toàn giao thông đường bộ chưa thực hiện xong yêu cầu của cơ quan nhà nước có thẩm quyền về giải quyết, xử lý vụ việc vi phạm hành chính trong lĩnh vực trật tự, an toàn giao thông đường bộ.",Nếu tôi vi phạm giao thông và chưa xử lý xong thì có được cấp lại giấy phép lái xe không?,"Không, nếu bạn vi phạm trật tự, an toàn giao thông đường bộ và chưa thực hiện xong yêu cầu của cơ quan nhà nước có thẩm quyền về giải quyết, xử lý vụ việc vi phạm hành chính, bạn sẽ không được cấp lại giấy phép lái xe.",TT 12/2024/TT-BGTVT,condition
"2. Không cấp lại giấy phép lái xe đối với các trường hợp sau: thông tin giấy phép lái xe không có trong hệ thống thông tin giấy phép lái xe tại Cục Cảnh sát giao thông hoặc không có trong bảng kê danh sách cấp giấy phép lái xe (sổ quản lý); người vi phạm trật tự, an toàn giao thông đường bộ chưa thực hiện xong yêu cầu của cơ quan nhà nước có thẩm quyền về giải quyết, xử lý vụ việc vi phạm hành chính trong lĩnh vực trật tự, an toàn giao thông đường bộ.",Những trường hợp nào thì không được cấp lại giấy phép lái xe và quy trình cấp lại như thế nào?,"Những trường hợp không được cấp lại giấy phép lái xe gồm có thông tin giấy phép lái xe không có trong hệ thống thông tin hoặc người vi phạm trật tự, an toàn giao thông đường bộ chưa thực hiện xong yêu cầu của cơ quan nhà nước có thẩm quyền. Đoạn văn không đề cập đến quy trình cấp lại.",TT 12/2024/TT-BGTVT,synthesis
"2. Trình tự thực hiện
a) Cá nhân có nhu cầu cấp Giấy chứng nhận giáo viên dạy thực hành lái xe lần đầu lập 01 bộ hồ sơ theo quy định tại khoản 1 Điều này gửi trực tiếp hoặc qua đường bưu chính đến cơ sở đào tạo lái xe;
b) Cơ sở đào tạo lái xe tiếp nhận hồ sơ của cá nhân, bảo đảm các điều kiện đối với người tham dự tập huấn theo quy định tại",Muốn cấp Giấy chứng nhận giáo viên dạy thực hành lái xe cần những gì?,Muốn cấp Giấy chứng nhận giáo viên dạy thực hành lái xe cần lập 01 bộ hồ sơ theo quy định và gửi trực tiếp hoặc qua đường bưu chính đến cơ sở đào tạo lái xe.,Nghị định 41.2024.NĐ-CP,direct
"2. Trình tự thực hiện
a) Cá nhân có nhu cầu cấp Giấy chứng nhận giáo viên dạy thực hành lái xe lần đầu lập 01 bộ hồ sơ theo quy định tại khoản 1 Điều này gửi trực tiếp hoặc qua đường bưu chính đến cơ sở đào tạo lái xe;
b) Cơ sở đào tạo lái xe tiếp nhận hồ sơ của cá nhân, bảo đảm các điều kiện đối với người tham dự tập huấn theo quy định tại",Quy trình cấp Giấy chứng nhận giáo viên dạy thực hành lái xe gồm những bước nào và ai có trách nhiệm trong quá trình này?,"Quy trình cấp Giấy chứng nhận giáo viên dạy thực hành lái xe gồm hai bước chính: cá nhân nộp hồ sơ trực tiếp hoặc qua đường bưu chính đến cơ sở đào tạo lái xe, sau đó cơ sở đào tạo lái xe tiếp nhận và bảo đảm các điều kiện theo quy định. Cá nhân có nhu cầu và cơ sở đào tạo lái xe có trách nhiệm trong quá trình này.",Nghị định 41.2024.NĐ-CP,synthesis
"2. Thẩm quyền trừ điểm giấy phép lái xe
Người có thẩm quyền áp dụng hình thức xử phạt tước quyền sử dụng giấy phép, chứng chỉ hành nghề có thời hạn hoặc đình chỉ hoạt động có thời hạn quy định tại Chương II Phần thứ hai của Luật Xử lý vi phạm hành chính, Mục 1 Chương III của Nghị định này và có thẩm quyền xử phạt vi phạm hành chính đối với hành vi vi phạm có quy định trừ điểm giấy phép lái xe thì có thẩm quyền trừ điểm giấy phép lái xe đối với hành vi vi phạm đó.",Ai có thẩm quyền trừ điểm giấy phép lái xe?,"Người có thẩm quyền áp dụng hình thức xử phạt tước quyền sử dụng giấy phép, chứng chỉ hành nghề có thời hạn hoặc đình chỉ hoạt động có thời hạn quy định tại Chương II Phần thứ hai của Luật Xử lý vi phạm hành chính, Mục 1 Chương III của Nghị định này và có thẩm quyền xử phạt vi phạm hành chính đối với hành vi vi phạm có quy định trừ điểm giấy phép lái xe thì có thẩm quyền trừ điểm giấy phép lái xe.",NĐ 168/2024/NĐ-CP,direct
"2. Thẩm quyền trừ điểm giấy phép lái xe
Người có thẩm quyền áp dụng hình thức xử phạt tước quyền sử dụng giấy phép, chứng chỉ hành nghề có thời hạn hoặc đình chỉ hoạt động có thời hạn quy định tại Chương II Phần thứ hai của Luật Xử lý vi phạm hành chính, Mục 1 Chương III của Nghị định này và có thẩm quyền xử phạt vi phạm hành chính đối với hành vi vi phạm có quy định trừ điểm giấy phép lái xe thì có thẩm quyền trừ điểm giấy phép lái xe đối với hành vi vi phạm đó.",Nếu người có thẩm quyền xử phạt vi phạm hành chính thì có thẩm quyền trừ điểm giấy phép lái xe không?,Người có thẩm quyền xử phạt vi phạm hành chính có quy định trừ điểm giấy phép lái xe thì có thẩm quyền trừ điểm giấy phép lái xe.,NĐ 168/2024/NĐ-CP,condition
